stage1_contrastive_loss,stage1_val_loss,stage2_classification_loss,stage2_val_loss,stage2_val_accuracy,stage2_val_f1
3.756279025341104,3.5438501834869385,0.13029634136352344,0.09072242677211761,1.0,1.0
3.684884659351747,3.348872423171997,0.006707019747476461,0.012241853401064873,1.0,1.0
3.623011300900231,3.097310781478882,0.003047752214104303,0.022287633270025253,1.0,1.0
3.62227385029471,3.2908172607421875,0.0026452525566507735,0.08095887303352356,0.9375,0.9411764705882353
3.61691412018852,3.1134772300720215,0.0045416154306304,0.060755256563425064,1.0,1.0
3.6041834515296607,3.022507905960083,0.002468789341807338,0.04065258428454399,1.0,1.0
3.5782902138364827,3.248389482498169,0.00712587698417979,0.048793114721775055,0.9375,0.9411764705882353
3.5813022142538995,3.0554795265197754,0.0021410933953419065,0.012219945900142193,1.0,1.0
3.569268334862645,3.314333915710449,0.007796899441470426,0.016993045806884766,1.0,1.0
3.55985632264541,3.347249984741211,0.0032525806633018463,0.0022733581718057394,1.0,1.0
3.563612222671509,3.016878366470337,0.001073574080737532,0.012583775445818901,1.0,1.0
3.5238642005101304,3.069295883178711,0.003284654903635911,0.075645312666893,0.9375,0.9411764705882353
3.546861929396179,3.0331215858459473,0.004320414372730102,0.013650793582201004,1.0,1.0
3.538003939061077,3.266956090927124,0.0027017281531307663,0.002458504866808653,1.0,1.0
3.551087695396751,3.254392147064209,0.0018186318076713307,0.05698056519031525,0.9375,0.9411764705882353
3.537824083690994,3.011411428451538,0.00623626034691364,0.04111596941947937,1.0,1.0
3.525413627273466,3.1538615226745605,0.002655705598828684,0.018003709614276886,1.0,1.0
3.51998568166253,3.1709086894989014,0.0020438004906231785,0.021089691668748856,1.0,1.0
3.5211725161850818,2.8637990951538086,0.0014116279297026089,0.014808032661676407,1.0,1.0
3.528246135068086,3.102384090423584,0.004306605775785813,0.05135493725538254,1.0,1.0
3.521540040618803,2.8872618675231934,0.0033447137008285046,0.023424359038472176,1.0,1.0
3.504174229557529,3.1904544830322266,0.002425417805082004,0.016984473913908005,1.0,1.0
3.51556846700563,3.0869219303131104,0.0017962001600474434,0.0150858573615551,1.0,1.0
3.507228210659846,2.762911319732666,0.0017464299354103374,0.02486114390194416,1.0,1.0
3.5083646511007673,2.7233619689941406,0.001584649839118038,0.02433033101260662,1.0,1.0
3.5109696768544203,2.8022687435150146,0.0007109407589102119,0.012200274504721165,1.0,1.0
3.4896136909906117,2.7587571144104004,0.001025081630576374,0.020339295268058777,1.0,1.0
3.500451557475365,2.82004976272583,0.0018570284883613647,0.014416851103305817,1.0,1.0
3.4790070056915283,2.870901584625244,0.001191385516599502,0.020641012117266655,1.0,1.0
3.4937763053215356,3.186275005340576,0.0019000775099647415,0.014163649640977383,1.0,1.0
3.4910637235348942,2.808730125427246,,,,
3.485932418905153,2.7504329681396484,,,,
3.4790118179438303,2.7568156719207764,,,,
3.4680102237163144,2.7924141883850098,,,,
3.472621202468872,2.8241941928863525,,,,
3.4735071615207413,2.741218328475952,,,,
3.475133062140342,2.741727590560913,,,,
3.4792380113543175,2.8833699226379395,,,,
3.463349441809157,2.880624771118164,,,,
3.46371559423903,2.7997045516967773,,,,
3.4585329169876005,2.8978307247161865,,,,
3.462824980905451,2.7662501335144043,,,,
3.4656661536795963,2.729275703430176,,,,
3.4593131512952,2.7196836471557617,,,,
3.4573360103771,2.7325551509857178,,,,
3.454871414629228,2.7339162826538086,,,,
3.457939115770024,2.7325055599212646,,,,
3.4576557896619926,2.733555316925049,,,,
3.455453616709797,2.7313995361328125,,,,
3.4561056578817544,2.733036518096924,,,,
