,precision,recall,f1-score,support
NORMAL,0.968,0.5170940170940171,0.6740947075208914,234.0
PNEUMONIA,0.7735470941883767,0.9897435897435898,0.8683914510686164,390.0
accuracy,0.8125,0.8125,0.8125,0.8125
macro avg,0.8707735470941884,0.7534188034188034,0.7712430792947539,624.0
weighted avg,0.8464669338677354,0.8125,0.7955301722382194,624.0
